PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF9,PF10,PF11,PF12,PF13,PF14,PF15,PF16,PF17,PF18,PF19,PF20,PF21,PF22,PF23,PF24,PF25,PF26,PF27,PF28,PF29,PF30,PF31,PF32,PF33,PF34,PF35,PF36,PF37,PF38,PF39,PF40,PF41,PF42,PF43,Cluster,Label
-10.13021036,-12.93793446,-0.22998367,-4.188901128,-4.670839945,7.142709789,-2.587876861,4.155457739,1.053442092,-2.04208169,0.186096535,1.161461504,-1.234757012,-2.128365528,2.394641419,-3.276919348,-3.017639337,6.093388936,-0.522167351,-0.990123537,1.335856983,-1.291350416,1.241719086,-0.088248336,-0.407790567,3.158532312,-1.201100233,0.706807202,-0.735749776,-1.134469999,-1.499140233,-0.393755509,-0.915610163,-0.787556552,0.103792442,1.932104939,0.520654891,-0.417632121,-0.173205544,-0.584938838,-0.849038435,0.527312675,1.162430768,3,0
-11.87933611,-13.54969806,-1.765606937,-3.486512922,-3.164477907,0.72378731,-4.653315563,5.350893327,-2.654821903,0.352055064,-0.76316938,-0.275316032,-1.426143223,0.133505678,2.684140342,1.019779138,-0.404784956,1.713154762,-1.987203248,0.143002694,0.130922339,-2.221273629,1.436013546,0.145433905,-0.145585215,-1.7524961,-1.867678637,-0.975541714,0.251053583,0.427456607,-0.970038267,0.56797633,0.679094142,0.747411835,-0.53590505,0.995647197,0.2991767,0.907827895,0.555395219,-0.2629745,-0.039347791,-0.912101819,-0.332812834,3,0
-5.095903133,-15.29001362,-5.283700501,-5.066740653,-1.871419658,5.756266969,-1.094750822,3.146225444,-1.788186169,8.639187597,-2.995111751,-2.542189861,-1.733719376,1.889657554,0.206840094,-0.764677965,0.104364749,0.126942325,0.188058215,-4.276386711,5.672597583,0.539707068,-0.498344414,0.770470067,-0.987089651,2.085959731,-0.860255608,0.15159539,1.673411901,-0.275745982,0.304409072,1.508012538,-1.239445486,-0.708525307,1.371331028,-1.026711852,0.849307734,0.115673038,1.653006585,-1.659396728,-1.545930446,-0.601233466,0.118158492,3,0
-11.85205272,-13.14751036,-3.733617959,-4.113472658,-3.703099769,2.462473105,-0.879163305,3.823681987,-4.850719939,-0.658009,-1.720441989,-1.803411036,0.61893817,1.502158216,-0.263140366,-0.271650826,0.410993517,-2.579130055,-1.659348286,1.574123375,0.54121498,0.048947269,1.597217131,0.357704679,0.198369928,0.858167576,-3.212393793,-0.357953139,1.049129936,1.91109465,-0.236840152,-1.102673619,0.188829372,-0.199709849,-1.268646461,-1.120037822,-0.266393634,1.054347157,1.810988195,-1.174707253,-1.402218038,-1.725655131,0.105804273,3,0
-12.01653284,-14.86865473,-4.280361818,-4.034754171,-2.698049087,6.645915914,-0.500502596,3.795037102,-0.41638575,1.006537089,1.107971031,-0.743861659,0.957271,2.452155515,1.06455046,-1.788529884,-4.052000177,0.072391539,0.843399473,-0.653839991,0.375997238,-0.183348118,0.192058704,-2.043127865,-1.36205846,2.759158575,0.993495995,-2.125209501,-0.958218496,-1.064809082,1.402282509,-0.802296569,-0.25509926,0.416956355,-2.494103193,0.532403529,1.155333555,-1.154352647,-0.032148053,-1.361756237,-0.963026097,-2.032645217,1.477248439,3,0
-13.55504913,-13.96753842,-0.382350105,-5.712085833,-4.291289848,4.878203703,0.066816901,4.416556433,-1.696594522,-1.854557791,2.227194263,-0.393585506,-0.373226153,0.864597907,1.894234331,-0.309119848,-1.967629474,4.435037837,0.480480473,-0.333666162,-0.792949083,0.172545889,-0.133808907,-1.662134288,0.371238931,-0.715425463,0.826568105,-1.744660383,0.043011156,0.378399581,-0.229867511,0.130066689,-0.105466082,-0.654502823,-1.242405745,1.362247341,1.102107577,1.346268048,-1.862906105,-0.604756934,-0.816800157,-1.119105678,1.010019849,3,0
-9.887955139,-11.55966135,-0.823615653,-1.667639559,-5.45726548,2.326284354,-2.563641213,5.137396504,-3.25330871,-0.360715403,-0.85867342,-3.37011051,-4.934505778,-2.238508779,-0.629032213,1.100445681,-1.445452832,2.881161942,-5.48777698,-2.365402563,0.122482008,-1.093126974,0.257251124,-2.033187974,-0.470153892,0.012985587,1.763714736,0.354671933,-1.03446431,-2.706845046,0.533541695,-0.666656566,2.37611935,-1.607321767,-0.559353074,-1.343761801,-0.085141771,-1.098623805,0.38687071,-0.02012263,2.524527997,-0.86125442,2.278330522,3,0
-10.97574747,-14.5537636,-2.867384713,-3.903921073,-1.516580996,7.124238069,-3.964830436,0.584885366,0.547940338,-1.745282703,1.667331775,6.352104311,3.169993134,0.611240101,1.767670848,-3.968266627,-3.207160426,2.145370356,4.573729508,1.453440817,-4.559853753,2.502217542,-0.493952485,1.082030841,0.84386638,2.169368666,3.492633294,1.308559154,-1.160544211,-1.643883727,1.557834163,-2.450416729,0.908190105,1.799216982,0.535312088,1.768481352,-0.202928162,-0.553964112,-0.387923777,0.108939811,-0.444498368,2.333594394,-1.248118985,3,0
-11.90341667,-12.72358826,-3.168073678,-0.88353486,-1.123157826,4.322922149,-4.735220658,3.431320448,-1.59257373,-3.387256082,-4.841288426,2.102053621,3.484673321,-1.295366053,0.297576378,-2.780799814,-2.108876829,-1.155071926,-0.823710477,-0.843512339,-0.603130017,-3.490485337,0.749422122,0.433290309,1.272673465,2.339648924,0.781014448,-0.747799064,0.610597912,-0.582387794,1.250786428,0.842045762,0.539210854,0.5330945,0.316185856,1.295953918,0.554942061,-1.790804296,-0.294655933,-1.318056167,1.087828246,0.477945196,-1.000099393,3,0
-9.427177742,-14.59794426,-4.380342233,-2.718379472,-5.071588792,6.517018899,0.354747465,2.885629719,-3.922251793,3.455632424,-1.309451154,-2.234250309,0.275209097,0.300118549,-1.390355066,-1.132818016,-2.268855307,-2.686449418,-0.27583051,0.250638089,1.060014279,0.495017476,0.378415148,-0.374289443,0.404561264,1.869954001,0.820361773,1.447969436,0.688833382,-0.650059346,1.412824778,0.872593403,0.433716904,0.064302785,-1.659457349,-1.271367922,0.301053784,0.221019569,0.628916429,0.602335987,-1.400402411,-2.186587856,1.202049292,3,0
